gid,fls_id,played_with
leonardtown-md-usa-70288,FLS0045,"Moss Icon, The Hated"
virginia-beach-va-usa-71688,FLS0046,"Scream, Fire Party"
washington-dc-usa-71888,FLS0047,Grim Prospects
washington-dc-usa-72888,FLS0048,"Ignition, Moss Icon, Nation of Ulysses"
washington-dc-usa-80188,FLS0049,Parasite
philadelphia-pa-usa-80788,FLS0050,"Scram, T.C.O"
washington-dc-usa-91188,FLS0051,"Fire Party, Dr. Puke, Geek, The Hated, I.E."
washington-dc-usa-100688,FLS0052,"Honor Role, Edsel"
rotterdam-netherlands-101488,FLS0053,"Extreme Noise Terror, Deviant Instinct"
hoorn-netherlands-101588,FLS0054,"Vernon Walters, The Plot"
gent-belgium-101688,FLS0055,"Loveslug, Yeastie Girlz, Pat Bone &amp; Silly Surfers"
amsterdam-netherlands-101688,FLS0056,"Subterranean Kids, No FX"
eindhoven-netherlands-101988,FLS0057,Vernon Walters
lubeck-germany-102188,FLS0058,Revenge
copenhagen-denmark-102288,FLS0059,Empty Wallets
oslo-norway-102588,FLS0060,Life But How to Live It
hamburg-germany-102788,FLS0061,Gulag
berlin-germany-102888,FLS0062,Naked Raygun
hannover-germany-102988,FLS0063,"Militant Mothers, Bionic"
kiel-germany-103088,FLS0064,NA
bielefeld-germany-103188,FLS0065,Pygmies
dusseldorf-germany-110188,FLS0066,Billy & the Willies
waiblingen-germany-110288,FLS0067,NA
homburg-germany-110388,FLS0068,Militant Mothers
nagold-germany-110488,FLS0069,"Too Bad, NoNoYesNo, Militant Mothers"
augsburg-germany-110588,FLS0070,Militant Mothers
zurich-switzerland-110888,FLS0071,Kina
ottobrunn-germany-110988,FLS0072,"Yeastie Girlz, NoNoYesNo, Target of Demand"
linz-austria-111088,FLS0073,Target of Demand
ljubljana-yugoslavia-111288,FLS0074,NA
udine-italy-111488,FLS0075,NA
naples-italy-111688,FLS0076,Randall Flagg
rome-italy-111788,FLS0077,NA
pisa-italy-111888,FLS0078,NA
milan-italy-111988,FLS0079,"Impact, Rabid Duck"
torino-italy-112088,FLS0080,NA
paris-france-112288,FLS0081,Krull
london-england-112488,FLS0082,"Sink, Playground, Exit Condition"
liverpool-england-112688,FLS0083,"Joyce McKinney Experience, Heresy, Rose Rose"
nottingham-england-112788,FLS0084,"Heresy, Rose Rose, Snuff"
newport-wales-112888,FLS0085,Slow Jam
dublin-ireland-112988,FLS0086,NA
leeds-england-113088,FLS0087,"Joyce McKinney Experience, Karma Sutra"
wigan-england-120188,FLS0088,NA
canterbury-england-120288,FLS0089,"Playground, Pest Control"
london-england-120588,FLS0090,"Beatnigs, God"
eindhoven-netherlands-121688,FLS0091,Beatnigs
washington-dc-usa-122988,FLS0092,"Soulside, Verbal Assault, Raincrow"
frederick-md-usa-11389,FLS0093,"Fire Party, Ignition, Why?"
washington-dc-usa-12689,FLS0094,"Nation of Ulysses, Jackhammer Orchestra"
washington-dc-usa-32489,FLS0095,"Swiz, Holy Rollers, Edsel"
new-york-ny-usa-40589,FLS0096,"Edsel, Manifesto"
princeton-nj-usa-40689,FLS0097,NA
norwalk-ct-usa-40789,FLS0098,"Purple Geezus, Heads Up"
middletown-ct-usa-40889,FLS0099,NA
hoboken-nj-usa-40989,FLS0100,The Blisters
morgantown-wv-usa-42889,FLS0101,Grizzly Fiction
richmond-va-usa-43089,FLS0102,"Alternatives, Burma Jam, Butter Glove"
