country,city,venue,googlemaps_search_text,googlemaps_hyperlink,find1,find2,find3,link_y,link_x,test_coordinates,city_disambiguation,guess,unknown
USA,Houston,D&I Colonial Hall,"D&I Colonial Hall, Houston, USA","https://www.google.com/maps/place/6610+Capitol+St,+Houston,+TX+77011,+USA/@29.7363192,-95.3098083,18z/data=!4m6!3m5!1s0x8640bc29e7659569:0x9cb708d5e12f4619!8m2!3d29.7361843!4d-95.3098044!16s%2Fg%2F11c13sb8fd?gl=cl",75,86,98,29.7363192,-95.3098083,"29.7363192, -95.3098083",,0,0
USA,Houston,Fitzgerald's,"Fitzgerald's, Houston, USA","https://www.google.com/maps/place/2706+White+Oak+Dr,+Houston,+TX+77007,+USA/@29.7818262,-95.3879991,19z/data=!4m6!3m5!1s0x8640b8af39e283d7:0x1f19a9249fa5b43f!8m2!3d29.7818972!4d-95.388082!16s%2Fg%2F11b8v47jx0",77,88,100,29.7818262,-95.3879991,"29.7818262, -95.3879991",,0,0
USA,Houston,Homage,"Homage, Houston, USA","https://www.google.com/maps/place/2204+Louisiana+St,+Houston,+TX+77002,+USA/@29.7494937,-95.375154,20z/data=!4m6!3m5!1s0x8640bf6a829adc67:0x54a43d8886547689!8m2!3d29.7494317!4d-95.3751028!16s%2Fg%2F11bw3zyfnl",77,88,99,29.7494937,-95.375154,"29.7494937, -95.375154",,0,0
USA,Houston,International Ballroom,"International Ballroom, Houston, USA","https://www.google.com/maps/place/The+Fountain+of+Praise+Ministry+%26+Operations+Center,+14075+S+Main+St,+Houston,+TX+77035,+United+States/@29.6351461,-95.49398,19z/data=!4m6!3m5!1s0x8640e987f336208d:0xa89aa0f3c60ac906!8m2!3d29.6354168!4d-95.494178!16s%2Fg%2F11h61lc_mh",140,151,161,29.6351461,-95.49398,"29.6351461, -95.49398",,0,0
USA,Houston,Phoenix Ballroom,"Phoenix Ballroom, Houston, USA","https://www.google.com/maps/place/15152+Bellaire+Blvd,+Houston,+TX+77083,+USA/@29.7014137,-95.6546244,19z/data=!4m6!3m5!1s0x8640de70f034aa41:0x3bec0a4239e5856e!8m2!3d29.7015289!4d-95.6545972!16s%2Fg%2F11f3mbvb9j",79,90,102,29.7014137,-95.6546244,"29.7014137, -95.6546244",,0,0
USA,Houston,Powertools,"Powertools, Houston, USA","https://www.google.com/maps/place/709+Franklin+St,+Houston,+TX+77002,+USA/@29.764455,-95.3621643,19z/data=!4m6!3m5!1s0x8640bf2e2ccc35bd:0x4ba5b42e9344dcd0!8m2!3d29.7644561!4d-95.3621633!16s%2Fg%2F11b8vd8jx_",75,85,97,29.764455,-95.3621643,"29.764455, -95.3621643",,0,0
England,London,Boston Arms,"Boston Arms, London, England","https://www.google.com/maps/place/Boston+Arms,+178+Junction+Rd,+London+N19+5QQ,+United+Kingdom/@51.5570758,-0.1384635,20z/data=!4m6!3m5!1s0x48761baa61d60869:0x6c897bd72876ff27!8m2!3d51.5570868!4d-0.138468!16s%2Fg%2F12214dplk",96,107,118,51.5570758,-0.1384635,"51.5570758, -0.1384635",,0,0
England,London,Brixton Academy,"Brixton Academy, London, England","https://www.google.com/maps/place/O2+Academy+Brixton,+211+Stockwell+Rd,+London+SW9+9SL,+United+Kingdom/@51.4656331,-0.1149457,19z/data=!4m6!3m5!1s0x487604670f2a552f:0xf4e12a721c7cd189!8m2!3d51.4656337!4d-0.1149728!16zL20vMDM2Nmdi",104,115,126,51.4656331,-0.1149457,"51.4656331, -0.1149457",,0,0
England,London,Forum,"Forum, London, England","https://www.google.com/maps/place/O2+Forum+Kentish+Town,+9-17+Highgate+Rd,+London+NW5+1JY,+United+Kingdom/@51.5521681,-0.1421312,18z/data=!4m9!1m2!2m1!1sForum,+London,+England!3m5!1s0x48761afe06768a01:0x745ba0878c0275ce!8m2!3d51.552197!4d-0.141969!16zL20vMDVxNnNs",107,118,129,51.5521681,-0.1421312,"51.5521681, -0.1421312",,0,0
England,London,Kilburn National,"Kilburn National, London, England","https://www.google.com/maps/place/Kilburn+High+Rd,+London+NW6+4JP,+UK/@51.5425942,-0.1982905,18z/data=!4m6!3m5!1s0x48761071be577ee7:0xcd7bcd574e97b518!8m2!3d51.542525!4d-0.198272!16s%2Fg%2F11b8txlv6j",71,82,93,51.5425942,-0.1982905,"51.5425942, -0.1982905",,0,0
