country,city,venue,googlemaps_hyperlink,find1,find2,find3,y,x,test_coordinates
USA,Bakersfield,Juarez Hall,"https://www.google.com/maps/?q=35.3728847,-118.9918513",31,42,54,35.3728847,-118.991851,"35.3728847, -118.991851"
USA,Bakersfield,Tejon Theater,"https://www.google.com/maps/?q=35.3813283,-118.9917039",31,42,54,35.3813283,-118.991703,"35.3813283, -118.991703"
USA,Baltimore,Steelworkers Hall,"https://www.google.com/maps/?q=39.2859858,-76.542328",31,42,52,39.2859858,-76.54232,"39.2859858, -76.54232"
USA,Baltimore,Studio 10,"https://www.google.com/maps/?q=39.3096783,-76.616911",31,42,52,39.3096783,-76.61691,"39.3096783, -76.61691"
USA,Baltimore,Teamsters Hall,"https://www.google.com/maps/?q=39.3010775,-76.5453765",31,42,53,39.3010775,-76.545376,"39.3010775, -76.545376"
USA,Baltimore,University of Maryland Baltimore,"https://www.google.com/maps/?q=39.2497768,-76.7114685",31,42,53,39.2497768,-76.711468,"39.2497768, -76.711468"
USA,Bellevue,YMCA,"https://www.google.com/maps/?q=47.6260752,-122.1498893",31,42,54,47.6260752,-122.149889,"47.6260752, -122.149889"
USA,Bellingham,Underground / 1414 Cornwell,"https://www.google.com/maps/?q=48.7510309,-122.4766035",31,42,54,48.7510309,-122.476603,"48.7510309, -122.476603"
USA,Bennington,Bennington College,"https://www.google.com/maps/?q=42.9203078,-73.2359361",31,42,53,42.9203078,-73.235936,"42.9203078, -73.235936"
USA,Berkeley,Gilman Street,"https://www.google.com/maps/?q=37.8794951,-122.2992799",31,42,54,37.8794951,-122.299279,"37.8794951, -122.299279"
USA,Berkeley,UC Berkeley Sproul Plaza,"https://www.google.com/maps/?q=37.8696099,-122.2590054",31,42,54,37.8696099,-122.259005,"37.8696099, -122.259005"
USA,Bethesda,BCC High School,"https://www.google.com/maps/?q=38.9864928,-77.0885041",31,42,53,38.9864928,-77.088504,"38.9864928, -77.088504"
USA,Binghamton,S.U.N.Y. Binghamton,"https://www.google.com/maps/?q=42.0894288,-75.9694885",31,42,53,42.0894288,-75.969488,"42.0894288, -75.969488"
USA,Birmingham,Sloss Furnace,"https://www.google.com/maps/?q=33.5192551,-86.7929813",31,42,53,33.5192551,-86.792981,"33.5192551, -86.792981"
USA,Birmingham,Tuxedo Junction,"https://www.google.com/maps/?q=33.5094707,-86.8861326",31,42,53,33.5094707,-86.886132,"33.5094707, -86.886132"
USA,Boise,Bogie's,"https://www.google.com/maps/?q=43.6165555,-116.2093355",31,42,54,43.6165555,-116.209335,"43.6165555, -116.209335"
USA,Boise,Boise State University Jordan Ballroom,"https://www.google.com/maps/?q=43.6013473,-116.2015833",31,42,54,43.6013473,-116.201583,"43.6013473, -116.201583"
USA,Boston,Channel,"https://www.google.com/maps/?q=42.349466,-71.050753",31,41,51,42.349466,-71.05075,"42.349466, -71.05075"
USA,Boston,Green Street Station,"https://www.google.com/maps/?q=42.310803,-71.1077819",31,41,52,42.310803,-71.107781,"42.310803, -71.107781"
USA,Boston,Mass Art Gymnasium,"https://www.google.com/maps/?q=42.3398798,-71.1045583",31,42,53,42.3398798,-71.104558,"42.3398798, -71.104558"
USA,Bozeman,Sundance Saloon,"https://www.google.com/maps/?q=45.6847567,-111.0287813",31,42,54,45.6847567,-111.028781,"45.6847567, -111.028781"
USA,Bryan,Stafford Opera House,"https://www.google.com/maps/?q=30.6733768,-96.3737595",31,42,53,30.6733768,-96.373759,"30.6733768, -96.373759"
USA,Buffalo,Blind Mellons,"https://www.google.com/maps/?q=42.9489029,-78.724339",31,42,52,42.9489029,-78.72433,"42.9489029, -78.72433"
USA,Buffalo,Buffalo State College,"https://www.google.com/maps/?q=42.931433,-78.8779447",31,41,52,42.931433,-78.877944,"42.931433, -78.877944"
USA,Burlington,242 Main,"https://www.google.com/maps/?q=44.4762475,-73.2097723",31,42,53,44.4762475,-73.209772,"44.4762475, -73.209772"
USA,Burlington,Cook Commons,"https://www.google.com/maps/?q=44.4792457,-73.199088",31,42,52,44.4792457,-73.19908,"44.4792457, -73.19908"
USA,Burlington,Memorial Hall,"https://www.google.com/maps/?q=44.4763248,-73.2094196",31,42,53,44.4763248,-73.209419,"44.4763248, -73.209419"
USA,Burlington,The Border,"https://www.google.com/maps/?q=44.4761844,-73.2116919",31,42,53,44.4761844,-73.211691,"44.4761844, -73.211691"
USA,Cambridge,First Congregational Church,"https://www.google.com/maps/?q=42.3767114,-71.1230354",31,42,53,42.3767114,-71.123035,"42.3767114, -71.123035"
USA,Carbondale,Southern Illinois University,"https://www.google.com/maps/?q=37.7129487,-89.2185028",31,42,53,37.7129487,-89.218502,"37.7129487, -89.218502"
USA,Carlisle,Dickinson College,"https://www.google.com/maps/?q=40.2027462,-77.2008334",31,42,53,40.2027462,-77.200833,"40.2027462, -77.200833"
USA,Champaign,Latzer Hall YMCA,"https://www.google.com/maps/?q=40.1066485,-88.2312715",31,42,53,40.1066485,-88.231271,"40.1066485, -88.231271"
