live_show,fls_available,fls_id,datestring,fls_link,Title,Url,Length,Seconds,link
1,1,,,,Fugazi Wilson Center 12-29-88 Glueman,https://www.youtube.com/watch?v=GnyPKEnYTdI&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=17&pp=iAQB,00:05:43,343,
1,1,,,,"Fugazi live in St Louis, Missouri June 22nd 1989",https://www.youtube.com/watch?v=fNGqQwuou4g&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=24,01:03:18,3798,
1,1,,,,"Fugazi - The Loft, Guelph 30th September 1989",https://www.youtube.com/watch?v=yIJHi2eZjY8&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=25&pp=iAQB,01:11:41,4301,
1,1,,,,"Fugazi live at the Boardwalk, Manchester, November 28th 1989",https://www.youtube.com/watch?v=jVj7X2pK8Dk&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=28&pp=iAQB,00:50:20,3020,
1,1,,,,Fugazi - live at Melkweg / Amsterdam (December 9 1989),https://www.youtube.com/watch?v=CIxuYUS9F0k&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=29&pp=iAQB,01:22:13,4933,
0,,,,,Fugazi - Snub TV 1989 - The Best Version,https://www.youtube.com/watch?v=WaXdRInrCkE&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=31&pp=iAQB,00:07:18,438,
0,,,,,Fugazi - Interview // Tribal Area,https://www.youtube.com/watch?v=hGouBn6pP6Q&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=32&pp=iAQB,00:05:37,337,
0,,,,,Funny Fugazi Interview 1989,https://www.youtube.com/watch?v=sPMgowhYOVc&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=33&pp=iAQB,00:01:32,92,
1,1,,,,Fugazi live at JMU 3/11/90,https://www.youtube.com/watch?v=AQoKTd62sD0&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=34&pp=iAQB,01:05:31,3931,
1,1,,,,"FUGAZI 3/16/1990 AMERICAN LEGION HALL GAINESVILLE, FL",https://www.youtube.com/watch?v=-j2EuST6CZM&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=35&pp=iAQB,00:52:03,3123,
1,1,,,,fugazi 4-27-1990,https://www.youtube.com/watch?v=D3A_oEm9q38&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=37&pp=iAQB,00:55:32,3332,
1,1,,,,Fugazi ~ Live ~ 05-04-90  --- The strangest Fugazi show ever?!?!,https://www.youtube.com/watch?v=1oCeJRHV2-Y&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=38&pp=iAQB,00:18:44,1124,
1,1,,,,"Fugazi 05/06/1990 - Houston, TX @ Axiom",https://www.youtube.com/watch?v=pAIT272JO2Q&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=39&pp=iAQB,01:06:22,3982,
1,1,,,,Fugazi live at the Country Club 1990,https://www.youtube.com/watch?v=j7l3urCjjiM&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=40&pp=iAQB,01:07:42,4062,
1,1,,,,"Fugazi at 924 Gilman St. Berkeley, CA  5/20/90",https://www.youtube.com/watch?v=oM4_KO3rpNs&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=41&pp=iAQB,00:35:45,2145,
1,1,,,,"Fugazi - PC69, Bielefeld 8th October 1990",https://www.youtube.com/watch?v=8hJnpI5JpmQ&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=42&pp=iAQB,01:08:04,4084,
1,1,,,,"Fugazi - Etzer Hof, Mainz 12th October 1990",https://www.youtube.com/watch?v=umven6rqytE&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=43&pp=iAQB,01:16:39,4599,
1,1,,,,"FUGAZI - Live Bologna, October 26 1990 - full concert",https://www.youtube.com/watch?v=WHf1mXgRGaw&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=44&pp=iAQB,01:18:02,4682,
1,1,,,,FUGAZI - KILBURN  LONDON 19.9.1990,https://www.youtube.com/watch?v=QzSEBRsrwZE&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=45&pp=iAQB,01:07:28,4048,
1,1,,,,"Fugazi Live At Blitz, Oslo, Norway, 1990-09-28",https://www.youtube.com/watch?v=M7-tdJjPaYo&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=46&pp=iAQB,01:10:15,4215,
1,1,,,,"Fugazi Live At Brigga Lillero Cafe, Tromsø, Norway, 1990-09-29",https://www.youtube.com/watch?v=inaRJ8WgTa8&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=47,01:13:46,4426,
1,1,,,,"Fugazi - full show (live Poland, Zgorzelec, MDK 6-10-1990)",https://www.youtube.com/watch?v=rLC3l8Ed-k0&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=48&pp=iAQB,01:15:24,4524,
1,1,,,,"FUGAZI Live in front of THE WHITE HOUSE, January 12, 1991 (Gulf War 1 Protest)",https://www.youtube.com/watch?v=c_5OZOwAhas&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=49,00:46:43,2803,
1,1,,,,"Fugazi Live At Lafayette Square, Washington DC, 1991-01-12",https://www.youtube.com/watch?v=I0gs_FaNOD4&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=50&pp=iAQB,00:46:23,2783,
1,1,,,,"Fugazi Live At The Sacred Heart Church Hall, Washington, DC, 1991-02-15",https://www.youtube.com/watch?v=Kx9dTbuGnEI&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=51&pp=iAQB,00:50:26,3026,
1,1,,,,Fugazi Live 3/02/1991 Drexel University Philadelphia PA (full show),https://www.youtube.com/watch?v=7JK-vKnFxPA&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=52&pp=iAQB,01:15:36,4536,
1,1,,,,Fugazi Live 3 7 91,https://www.youtube.com/watch?v=3Oh7FbDMENc&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=53&pp=iAQB,01:14:23,4463,
1,1,,,,FuGaZi - LiVe MiaMi '91 - 05-16-1991 CaMeo TheaTeR - 'OKaY' QUaL - RaRe ShoW!!,https://www.youtube.com/watch?v=CBtJ0nLbw6I&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=54&pp=iAQB,01:12:30,4350,
1,1,,,,Fugazi 5 25 91 Austin Liberty Lunch,https://www.youtube.com/watch?v=cpoyEOP2IS8&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=55&pp=iAQB,00:51:54,3114,
