washington-dc-usa-122887,FLS0011,1987-12-28,dc space,$1.99,125,Joey Picuri,Fugazi,Cassette,Intro,Merchandise,Furniture,Bad Mouth,Song #1,The Word,Break-In,Suggestion,Joe #1,Turn Off Your Guns,In Defense Of Humans,And The Same,Waiting Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east-lansing-mi-12088,FLS1048,1988-01-20,Matt Kelly’s Basement,$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flint-mi-usa-12188,FLS0012,1988-01-21,"Fallout Shelter, Capitol Theatre",5,,Tom Lumley,Fugazi,Cassette,The Word,Interlude 1,Song #1,Interlude 2,Merchandise,Interlude 3,And The Same,Interlude 4,Suggestion,Interlude 5,Bad Mouth,Waiting Room,Interlude 6,Joe #1,Interlude 7,KYEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ypsilanti-mi-eastern-michigan-university-12288,FLS1046,1988-01-22,Eastern Michigan University,5,,Matt Kelly,Warren Russell-Smith,VHS audio,Intro,Song #1,Merchandise,And The Same,Interlude 1,Turn Off Your Guns,Bad Mouth,Interlude 2,Break-In,Interlude 3,Waiting Room,Interlude 4,Furniture,Interlude 5,Suggestion,Encore,The Word,,,,,,,,,,,,,,,,,,,,,,,,,,,
annapolis-md-usa-20688,FLS0013,1988-02-06,Unitarian Church,$5,75,Unknown,Warren Russell-Smith,Cassette,Burning,And The Same,Merchandise,Interlude 1,Song #1,Interlude 2,Furniture,Interlude 3,In Defense of Humans,Interlude 4,Waiting Room,Interlude 5,Break-In,Interlude 6,Interlude 7,Break-In,Suggestion,The Word,,,,,,,,,,,,,,,,,,,,,,,,,,
carlisle-pa-usa-21388,FLS1050,1988-02-13,Dickinson College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
merrifield-va-usa-22088,FLS0014,1988-02-20,Merrifield Community Center,$5,250,John Fox,Warren Russell-Smith,,Intro,Joe #1,Bad Mouth,Interlude 1,Furniture,Interlude 2,Waiting Room,Song #1,Burning,Interlude 3,Merchandise,Interlude 4,Suggestion,Break-In,The Word,KYEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
washington-dc-usa-30388,FLS0015,1988-03-03,Wilson Center,$5,400,ANON,Jerry Busher,Cassette,Intro,In Defense of Humans,Furniture,Merchandise,Interlude 1,Burning,Interlude 2,And The Same,Interlude 3,Song #1,Bad Mouth,Suggestion,Break-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new-york-ny-usa-32588,FLS0016,1988-03-25,Columbia University,$5,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
washington-dc-usa-33088,FLS0017,1988-03-30,dc space,$4,150,Unknown,Jerry Busher,Cassette,Intro,Song #1,In Defense of Humans,Interlude 1,Furniture,Interlude 2,Bad Mouth,Interlude 3,Give Me The Cure,Suggestion,Interlude 4,Burning,The Word,Break-In,Interlude 5,Merchandise,Interlude 6,KYEO,Encore 1,And The Same,Waiting Room,,,,,,,,,,,,,,,,,,,,,,,
rockville-md-usa-40988,FLS0018,1988-04-09,Montgomery College Fine Arts Building,$5,350,Geoff Sanoff,,VHS audio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
middletown-ct-usa-41588,FLS0019,1988-04-15,Wesleyan University Eclectic House,$5,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boston-ma-usa-41688,FLS0020,1988-04-16,Green Street Station,$5,100,ANON,Warren Russell-Smith,Cassette,Intro,Give Me The Cure,Interlude 1,Bad Mouth,Interlude 2,Song #1,Interlude 3,Furniture,Interlude 4,Suggestion,Merchandise,Burning,Interlude 5,The Word,Interlude 6,Break-In,Interlude 7,In Defense of Humans,Interlude 8,,,,,,,,,,,,,,,,,,,,,,,,,
providence-ri-usa-41788,FLS0021,1988-04-17,Rocket,,100,ANON,Warren Russell-Smith,VHS audio,Intro,Furniture,Bad Mouth,Interlude 1,And The Same,Song #1,Interlude 2,Give Me The Cure,Interlude 3,Suggestion,Interlude 5,Break-In,Interlude 6,Burning,Interlude 7,Waiting Room,Interlude 8,KYEO,Encore,The Word,,,,,,,,,,,,,,,,,,,,,,,,
richmond-va-usa-42888,FLS0022,1988-04-28,New Horizons,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
washington-dc-usa-50188,FLS0023,1988-05-01,Lafayette Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oberlin-oh-usa-50588,FLS0024,1988-05-05,Oberlin University Student Union Tavern,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
morgantown-wv-usa-50688,FLS0025,1988-05-06,Dry House,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clarksville-in-usa-50788,FLS0026,1988-05-07,Thunderdrone Sports Complex,,100,Mike Bucayu,,Cassette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicago-il-usa-50888,FLS0027,1988-05-08,Club Dreamerz,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bozeman-mt-usa-51288,FLS0028,1988-05-12,Sundance Saloon,,20,Charlie Beaton,Warren Russell-Smith,,Intro,Give Me The Cure,Bad Mouth,Song #1,Furniture,Interlude 1,Break-In,Interlude 2,Suggestion,Burning,Interlude 3,Waiting Room,Interlude 4,KYEO,Interlude 5,Merchandise,Interlude 6,Glueman,,,,,,,,,,,,,,,,,,,,,,,,,,
spokane-wa-usa-51388,FLS0029,1988-05-13,123 Arts,,100,Unknown,Jerry Busher,Cassette,Intro,Song #1,Waiting Room,Interlude 1,Give Me The Cure,Interlude 2,The Word,Furniture,Interlude 3,Burning,Interlude 4,Suggestion,Interlude 5,Joe #1,Interlude 6,And The Same,Break-In,Interlude 7,Glueman,,,,,,,,,,,,,,,,,,,,,,,,,
tacoma-wa-usa-51588,FLS0030,1988-05-15,Tacoma Community World Theater,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olympia-wa-usa-51688,FLS0031,1988-05-16,Evergreen University,,75,Unknown,Jerry Busher,Cassette,KYEO,Waiting Room,Interlude 1,Bad Mouth,Burning,Interlude 2,Song #1,Interlude 3,Merchandise,Interlude 4,Give Me The Cure,Interlude 5,Furniture,Suggestion,Interlude 6,Break-In,Interlude 7,In Defense of Humans,Interlude 8,The Word,Interlude 9,Glueman,,,,,,,,,,,,,,,,,,,,,,
berkeley-ca-usa-52088,FLS0032,1988-05-20,Gilman Street,,,KALX Radio Broadcast,Warren Russell-Smith,Cassette,Intro,Song #1,Interlude 1,Bad Mouth,Interlude 2,Burning,Interlude 3,Merchandise,Interlude 4,Give Me The Cure,Interlude 5,Suggestion,Interlude 6,In Defense of Humans,Waiting Room,Interlude 7,Break-In,Interlude 8,Glueman,,,,,,,,,,,,,,,,,,,,,,,,,
long-beach-ca-usa-52188,FLS0034,1988-05-21,Zed Records,,20,Unknown,Jerry Busher,Cassette,Intro,KYEO,Interlude 1,Break-In,Interlude 2,Bad Mouth,Burning,Interlude 3,Song #1,Interlude 4,Give Me The Cure,Interlude 5,Suggestion,Interlude 6,Furniture,Glueman,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pomona-ca-usa-52288,FLS0033,1988-05-22,Elks Lodge,,,ANON,Warren Russell-Smith,Cassette,Intro,Joe #1,Interlude 1,Song #1,Interlude 2,Bad Mouth,Interlude 3,Give Me The Cure,Interlude 4,The Word,Interlude 5,Waiting Room,Burning,Interlude 6,Suggestion,Interlude 7,KYEO,Glueman,,,,,,,,,,,,,,,,,,,,,,,,,,
tucson-az-usa-52488,FLS0035,1988-05-24,Park Place BBQ,,50,Wayne Keeler,Warren Russell-Smith,Cassette,Merchandise,Song #1,Interlude 1,Burning,Interlude 2,Furniture,Interlude 3,Break-In,Interlude 4,Bad Mouth,Waiting Room,Interlude 5,Give Me The Cure,Interlude 6,In Defense of Humans,Interlude 7,Suggestion,Interlude 8,KYEO,Interlude 9,Glueman,,,,,,,,,,,,,,,,,,,,,,,
college-station-tx-usa-52688,FLS0036,1988-05-26,Eastgate Live,,,ANON,Warren Russell-Smith,Cassette,Intro,Furniture,Interlude 1,Song #1,Interlude 2,Give Me The Cure,Interlude 3,Merchandise,Interlude 4,Burning,Interlude 5,Suggestion,Interlude 6,Bad Mouth,Break-In,Interlude 7,The Word,Interlude 8,Glueman,,,,,,,,,,,,,,,,,,,,,,,,,
houston-tx-usa-52788,FLS0037,1988-05-27,Powertools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
austin-tx-usa-52888,FLS0038,1988-05-28,Liberty Lunch,$5,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dallas-tx-usa-52988,FLS0039,1988-05-29,Honest Place,$5,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
athens-ga-usa-60388,FLS0040,1988-06-03,40 Watt,$5,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atlanta-ga-usa-60488,FLS0041,1988-06-04,First Existentialist Church,$5,100,Brian Nejedly,,VHS audio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chapel-hill-nc-usa-60588,FLS0042,1988-06-05,Cat's Cradle,$5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
washington-dc-usa-61588,FLS0043,1988-06-15,9:30 Club,$5,300,ANON,Warren Russell-Smith,Cassette,Intro,Bad Mouth,Burning,Interlude 1,Bulldog Front,Interlude 2,Turn Off Your Guns,Interlude 3,Suggestion,Interlude 4,Give Me The Cure,Waiting Room,Interlude 5,Break-In,KYEO,Interlude 6,The Word,Glueman,,,,,,,,,,,,,,,,,,,,,,,,,,
hoboken-nj-usa-63088,FLS0044,1988-06-30,Maxwell's,$5,200,ANON,Warren Russell-Smith,,Intro,Song #1,Furniture,Interlude 1,Bulldog Front,Interlude 2,KYEO,Interlude 3,Burning,Interlude 4,Waiting Room,Give Me The Cure,Interlude 5,Suggestion,Interlude 6,Break-In,Bad Mouth,Interlude 7,The Word,Encore,Glueman,,,,,,,,,,,,,,,,,,,,,,,
leonardtown-md-usa-70288,FLS0045,1988-07-02,St. Mary's County Fairgrounds Auditorium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
virginia-beach-va-usa-71688,FLS0046,1988-07-16,Beach Theater,$5,200,ANON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
washington-dc-usa-71888,FLS0047,1988-07-18,Fort Reno,,,ANON,Warren Russell-Smith,Cassette,Intro,Break-In,The Word,Interlude 1,Song #1,Bulldog Front,Suggestion,Interlude 2,Burning,Give Me The Cure,Turn Off Your Guns,Interlude 3,Waiting Room,Interlude 4,Glueman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
washington-dc-usa-72888,FLS0048,1988-07-28,Wilson Center,$5,450,ANON,,VHS Tape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
washington-dc-usa-80188,FLS0049,1988-08-01,dc space,$5,200,ANON,Warren Russell-Smith,,Intro,KYEO,Song #1,Interlude 1,Break-In,Waiting Room,Interlude 2,Bulldog Front,Suggestion,Bad Mouth,Interlude 3,Margin Walker,Burning Too,Interlude 4,Glueman,Encore,The Word,,,,,,,,,,,,,,,,,,,,,,,,,,,
philadelphia-pa-usa-80788,FLS0050,1988-08-07,YMCA,$5,100,Unknown,Fugazi,Cassette,Intro,Burning Too,Song #1,Burning,Furniture,Interlude 1,Merchandise,Interlude 2,Give Me The Cure,Interlude 3,Suggestion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
washington-dc-usa-91188,FLS0051,1988-09-11,Dupont Circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
washington-dc-usa-100688,FLS0052,1988-10-06,9:30 Club,$5,500,Eli Janney,Jerry Busher,"1/4""",Intro,Song #1,Merchandise,Interlude 1,Bad Mouth,Burning,Interlude 2,Bulldog Front,Turn Off Your Guns,Interlude 3,Suggestion,Give Me The Cure,Waiting Room,Break-In,KYEO,Interlude 4,The Word,Glueman,,,,,,,,,,,,,,,,,,,,,,,,,,
rotterdam-netherlands-101488,FLS0053,1988-10-14,Chill Up,,,ANON,Warren Russell-Smith,,Intro,Song #1,Bad Mouth,Burning,Merchandise,Interlude 1,Give Me The Cure,Suggestion,Burning Too,Margin Walker,Waiting Room,Lockdown,Interlude 2,The Word,Glueman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hoorn-netherlands-101588,FLS0054,1988-10-15,Troll,,,Hans Engel,Warren Russell-Smith,Cassette,Intro,Promises Bit Soundcheck,Burning Too,Interlude 1,Furniture,Margin Walker,Song #1,Interlude 2,Burning,Interlude 3,Waiting Room,Give Me The Cure,Interlude 4,Suggestion,Lockdown,Bulldog Front,Interlude 5,KYEO,Interlude 6,Glueman,Encore 1,Merchandise,Break-In,Encore 2,Bad Mouth,Encore 3,The Word,,,,,,,,,,,,,,,,,
amsterdam-netherlands-101688,FLS0056,1988-10-16,Van Hall,,,ANON,Warren Russell-Smith,Cassette,Intro,Song #1,Lockdown,Interlude 1,Furniture,Burning,Interlude 2,Suggestion,Burning Too,Interlude 3,Give Me The Cure,Interlude 4,Waiting Room,Margin Walker,The Word,Bulldog Front,Interlude 5,Merchandise,Encore,Glueman,,,,,,,,,,,,,,,,,,,,,,,,
gent-belgium-101688,FLS0055,1988-10-16,Democrazy,,,Unknown,Warren Russell-Smith,Cassette,Intro,Song #1,Merchandise,Interlude 1,Burning,Interlude 2,Waiting Room,Interlude 3,Lockdown,Interlude 4,Give Me The Cure,Interlude 5,Suggestion,Burning Too,Interlude 6,Bulldog Front,Interlude 7,KYEO,Encore,Margin Walker,The Word,,,,,,,,,,,,,,,,,,,,,,,
eindhoven-netherlands-101988,FLS0057,1988-10-19,Bunker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lubeck-germany-102188,FLS0058,1988-10-21,Alternative,,,ANON,,Cassette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
copenhagen-denmark-102288,FLS0059,1988-10-22,Ungdomshuset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oslo-norway-102588,FLS0060,1988-10-25,Blitz,,,ANON,,Cassette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hamburg-germany-102788,FLS0061,1988-10-27,Hafenstrasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berlin-germany-102888,FLS0062,1988-10-28,Ex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hannover-germany-102988,FLS0063,1988-10-29,Korn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kiel-germany-103088,FLS0064,1988-10-30,Alte Meierei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bielefeld-germany-103188,FLS0065,1988-10-31,AJZ,,,Unknown,Fugazi,Cassette,Merchandise,Margin Walker,Interlude 1,Furniture,Interlude 2,Give Me The Cure,Interlude 3,Burning,Suggestion,Lockdown,Burning Too,Bad Mouth,Break-In,Waiting Room,Interlude 4,Bulldog Front,In Defense of Humans,Interlude 5,Glueman,Encore 1,The Word,KYEO,Interlude 6,Heart on My Chest,Preprovisional,Promises,,,,,,,,,,,,,,,,,,
dusseldorf-germany-110188,FLS0066,1988-11-01,AK47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
waiblingen-germany-110288,FLS0067,1988-11-02,Villa Roller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homburg-germany-110388,FLS0068,1988-11-03,Juz Homburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nagold-germany-110488,FLS0069,1988-11-04,Juz Nagold,,,ANON,,VHS Tape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
augsburg-germany-110588,FLS0070,1988-11-05,Bootleg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zurich-switzerland-110888,FLS0071,1988-11-08,Provitreff House,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ottobrunn-germany-110988,FLS0072,1988-11-09,Juz Einsteinstr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linz-austria-111088,FLS0073,1988-11-10,Kapu,,,ANON,Warren Russell-Smith,,Intro,Song #1,Burning Too,Interlude 1,Burning,Bulldog Front,Furniture,Merchandise,Interlude 2,Lockdown,Interlude 3,Suggestion,Bad Mouth,Margin Walker,Give Me The Cure,Break-In,Waiting Room,Interlude 4,Glueman,Interlude 5,The Word,KYEO,Preprovisional,Promises Coda Instrumental,Encore,In Defense of Humans,Link Track,Turn Off Your Guns,,,,,,,,,,,,,,,,
ljubljana-yugoslavia-111288,FLS0074,1988-11-12,Menza N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
udine-italy-111488,FLS0075,1988-11-14,Centro Sociale Autogestito,,,ANON,Warren Russell-Smith,Cassette,Intro,Bulldog Front,Break-In,Interlude 1,KYEO,Give Me The Cure,Suggestion,Margin Walker,Burning Too,Interlude 2,Waiting Room,Interlude 3,Joe #1,Merchandise,Interlude 4,Song #1,Lockdown,Burning,Interlude 5,Glueman,Interlude 6,Bad Mouth,Provisional Medley,,,,,,,,,,,,,,,,,,,,,
naples-italy-111688,FLS0076,1988-11-16,Diamond Dogs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome-italy-111788,FLS0077,1988-11-17,Forte Prenestino,,,ANON,Warren Russell-Smith,,Intro,Song #1,Bad Mouth,Interlude 1,Bulldog Front,Lockdown,Furniture,Merchandise,Burning,Give Me The Cure,Burning Too,Margin Walker,Break-In,Interlude 2,Waiting Room,In Defense of Humans,Glueman,Encore,The Word,KYEO,Preprovisional,,,,,,,,,,,,,,,,,,,,,,,
pisa-italy-111888,FLS0078,1988-11-18,Social Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milan-italy-111988,FLS0079,1988-11-19,Leoncavallo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
torino-italy-112088,FLS0080,1988-11-20,El Paso,,,ANON,Warren Russell-Smith,,Burning,Lockdown,Bad Mouth,Song #1,Bulldog Front,Break-In,Interlude 1,Waiting Room,Interlude 2,Turn Off Your Guns,Margin Walker,Furniture,In Defense of Humans,Interlude 3,And The Same,Suggestion,Give Me The Cure,The Word,Glueman,,,,,,,,,,,,,,,,,,,,,,,,,
paris-france-112288,FLS0081,1988-11-22,Club Gibus,,,Phillipe Roger,,VHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
london-england-112488,FLS0082,1988-11-24,Sir George Robey,,,Andy P/Fear and Loathing Zine,Warren Russell-Smith,VHS audio,Intro,Intro,Song #1,Merchandise,Interlude 1,Lockdown,Burning,Interlude 2,Bad Mouth,In Defense of Humans,Interlude 3,Bulldog Front,Margin Walker,Interlude 4,Suggestion,Burning Too,Interlude 5,Give Me The Cure,Break-In,Waiting Room,Furniture,Interlude 6,Turn Off Your Guns,Interlude 7,Glueman,Encore,KYEO,Preprovisional,Promises Coda Instrumental,,,,,,,,,,,,,,,
liverpool-england-112688,FLS0083,1988-11-26,Planet X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nottingham-england-112788,FLS0084,1988-11-27,Underground Hic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newport-wales-112888,FLS0085,1988-11-28,TJ's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dublin-ireland-112988,FLS0086,1988-11-29,McGonagles,,,ANON,Warren Russell-Smith,,Intro,Waiting Room,Bulldog Front,Burning,Song #1,Interlude 1,Lockdown,Interlude 2,Margin Walker,Give Me The Cure,Interlude 3,Break-In,Interlude 4,Burning Too,Glueman,Interlude 5,Preprovisional,,,,,,,,,,,,,,,,,,,,,,,,,,,
leeds-england-113088,FLS0087,1988-11-30,Duchess of York,,,Bust Fund Tapes,Warren Russell-Smith,Cassette,Intro,Burning Too,Interlude 1,Song #1,Lockdown,Burning,Interlude 2,Bulldog Front,Give Me The Cure,Interlude 3,Suggestion,Furniture,Margin Walker,Break-In,Waiting Room,Encore,Glueman,,,,,,,,,,,,,,,,,,,,,,,,,,,
wigan-england-120188,FLS0088,1988-12-01,Wigan Unity Club,,,Unknown,Jerry Busher,Cassette,Intro,Song #1,Interlude 1,Burning Too,Interlude 2,Bulldog Front,Interlude 3,Lockdown,Interlude 4,Furniture,Turn Off Your Guns,Interlude 5,Margin Walker,Break-In,Interlude 6,In Defense of Humans,Waiting Room,Give Me The Cure,Burning,Interlude 7,Merchandise,Interlude 8,Glueman,,,,,,,,,,,,,,,,,,,,,
canterbury-england-120288,FLS0089,1988-12-02,Technical College,,,Andy P/Fear and Loathing Zine,Warren Russell-Smith,VHS audio,Bad Mouth,Interlude 1,Song #1,Interlude 2,Bulldog Front,Lockdown,Interlude 3,Merchandise,Furniture,Interlude 4,Burning,Margin Walker,Interlude 5,Give Me The Cure,Interlude 6,Break-In,Interlude 7,Burning Too,In Defense of Humans,Interlude 8,Suggestion,Waiting Room,Interlude 9,Glueman,,,,,,,,,,,,,,,,,,,,
london-england-120588,FLS0090,1988-12-05,Boston Arms,,,ANON,Warren Russell-Smith,Cassette,Intro,Bad Mouth,Song #1,Interlude 1,Bulldog Front,Burning,Interlude 2,Merchandise,Interlude 3,Furniture,Interlude 4,Lockdown,Interlude 5,Give Me The Cure,Interlude 6,Suggestion,Interlude 7,Burning Too,Encore,Waiting Room,Glueman,,,,,,,,,,,,,,,,,,,,,,,
eindhoven-netherlands-121688,FLS0091,1988-12-16,Effenaar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
washington-dc-usa-122988,FLS0092,1988-12-29,Wilson Center,$5,1000,Unknown,Fugazi,Cassette,Intro,Reprovisional,Song #1,Interlude 1,Bad Mouth,Interlude 2,Margin Walker,Bulldog Front,Interlude 3,Promises,Suggestion,Lockdown,Give Me The Cure,Interlude 4,Waiting Room,Interlude 5,Burning Too,Interlude 6,Glueman,,,,,,,,,,,,,,,,,,,,,,,,,
frederick-md-usa-11389,FLS0093,1989-01-13,Weinberg Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
washington-dc-usa-12689,FLS0094,1989-01-26,9:30 Club,$5,400,ANON,,VHS audio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
washington-dc-usa-32489,FLS0095,1989-03-24,Wilson Center,$5,900,Unknown,Jerry Busher,Cassette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new-york-ny-usa-40589,FLS0096,1989-04-05,NYU Student Union,,150,Jim Spellman,Warren Russell-Smith,VHS audio,Intro,Brendan #1,Sieve-Fisted Find,Interlude 1,Bad Mouth,Margin Walker,Interlude 2,Waiting Room,Lockdown,Burning,Interlude 3,Suggestion,Burning Too,Interlude 4,Shut The Door,Greed,Glueman,,,,,,,,,,,,,,,,,,,,,,,,,,,
