"","variable","parameter_id","Estimate","Std. Error","z-value","Pr(>|z|)"
"40","cassavetes",40,-0.998776981487111,0.105737151985805,-9.44584720440738,0
"41","break",41,0.533367798167511,0.143838298191643,3.70810698453119,0.000208814437730576
"42","lockdown",42,-1.30169065490357,0.0972675840225301,-13.3825741431191,0
"43","closed captioned",43,0.276225463359006,0.152002129365863,1.81724732746436,0.0691792511676605
"44","brendan #1",44,-1.68951583738982,0.0929395874874066,-18.178645753283,0
"45","arpeggiator",45,-0.230707594216913,0.151522929912522,-1.52259195588487,0.127860823543653
"46","stacks",46,-1.51035553751416,0.100054358354313,-15.0953497914172,0
"47","dear justice letter",47,-1.16366229774917,0.107754534465487,-10.7991956303415,0
"48","recap modotti",48,0.0612181405848865,0.15259667665583,0.401176106364095,0.688290470995962
"49","walken's syndrome",49,-0.911837942373926,0.119496684049423,-7.63065477194997,2.33146835171283e-14
"50","last chance for a slow dance",50,-1.30109527266,0.112673378645593,-11.5474949655367,0
"51","back to base",51,-0.866053421839511,0.133665775149542,-6.4792458718067,9.21822618238366e-11
"52","break-in",52,-1.53310574249481,0.103959875376319,-14.7470909997266,0
"53","fell, destroyed",53,-0.97293063028646,0.126215160888111,-7.70850841880206,1.26565424807268e-14
"54","returning the screw",54,-1.31147959728959,0.115452264300053,-11.3594965437936,0
"55","place position",55,0.384427826130363,0.152985188028766,2.51284343983732,0.011976247047885
"56","glueman",56,-1.67483762739716,0.104746726946213,-15.9894029744449,0
"57","joe #1",57,-2.01554360461928,0.0980130178885347,-20.5640398391921,0
"58","fd",58,-0.446906028720455,0.15793495547123,-2.8296840771381,0.0046593987920982
"59","nice new outfit",59,-1.49055086459117,0.116513875909694,-12.7929043039169,0
"60","long distance runner",60,-1.21479305919593,0.139138643753118,-8.73080997793402,0
"61","downed city",61,-0.943933638124333,0.142808643583798,-6.60977945337355,3.84892118177049e-11
"62","five corporations",62,-0.526672760200849,0.153917577582541,-3.42178436324734,0.000622116321956856
"63","number 5",63,-0.0445538220103138,0.174043036620476,-0.255993131787681,0.797956140700331
"64","floating boy",64,-0.256667664477357,0.159824396458642,-1.60593545268776,0.108288092911985
"65","furniture",65,-2.28721370386588,0.111720134359472,-20.4727081378771,0
"66","no surprise",66,-0.54940682599207,0.165215985663192,-3.32538539649599,0.000882963913189094
"67","oh",67,-0.242325970392901,0.187028584758119,-1.29566274966095,0.195091700210349
"68","pink frosty",68,-1.30005471091528,0.168023799297831,-7.73732480962929,1.02140518265514e-14
"69","argument",69,-0.287327754121553,0.194505030345708,-1.4772253119154,0.139615250903105
"70","cashout",70,0.309301722404184,0.208668761194708,1.48226174647952,0.138270662625926
"71","caustic acrostic",71,-1.26239555634277,0.184524980497289,-6.84132605211856,7.84639020423583e-12
"72","ex-spectator",72,-0.582446795773968,0.211073911639193,-2.75944474260559,0.00578996780201346
"73","steady diet",73,-2.78136099537044,0.159371076399074,-17.4521064813904,0
"74","nightshop",74,-0.779851688589557,0.217136995192466,-3.59151920610448,0.00032875594338333
"75","latest disgrace",75,-2.07491133667761,0.192656631649504,-10.7699969573456,0
"76","the kill",76,-0.233263165052224,0.238325651686776,-0.978758112696969,0.327699510831592
"77","version",77,-2.53947666518279,0.197568804088479,-12.853631811455,0
"78","foreman's dog",78,-1.6291463007668,0.225364277846747,-7.22894646983339,4.86721773995669e-13
"79","guilford fall",79,-1.67833201064081,0.217250252707984,-7.72533973940518,1.11022302462516e-14
"80","the word",80,-3.53718359497925,0.187497476126176,-18.8652331117189,0
"81","epic problem",81,-0.69474907998905,0.244307705927492,-2.84374607567739,0.00445865653272448
"82","23 beats off",82,-3.0839525676911,0.210601346123023,-14.6435558198645,0
"83","in defense of humans",83,-3.6977471510226,0.204319833428997,-18.0978375371845,0
"84","full disclosure",84,-0.608247858318719,0.265037414601514,-2.29495091941348,0.021735937196828
"85","combination lock",85,-2.97056328486645,0.241083979986701,-12.3216950584204,0
"86","life and limb",86,-0.557775413630207,0.281939249036978,-1.97835319323366,0.0478888761707557
"87","strangelight",87,-1.08931609909297,0.285135724935612,-3.82034239777899,0.000133266539454224
"88","turn off your guns",88,-4.2165324500544,0.261529500761153,-16.1225882272655,0
"89","provisional",89,-4.5725820980007,0.358732688158089,-12.7464885385232,0
"90","polish",90,-4.87946788688206,0.412511792207989,-11.828674910757,0
"91","hello morning",91,-3.20706876393155,0.727417740103033,-4.40884046005985,1.03925545422712e-05
"92","yearsold_1",92,0.217567507506164,0.0412157528588906,5.27874641162191,1.30070665349535e-07
"93","yearsold_2",93,0.146499217138215,0.0462497152216742,3.16757014472513,0.00153718621825361
"94","yearsold_3",94,-0.122056568657394,0.0551952311116713,-2.2113607679339,0.027010864334013
"95","yearsold_4",95,-0.318317748799188,0.0663559310933668,-4.79712579650634,1.60958523398591e-06
"96","yearsold_5",96,-0.531832028808485,0.0805712174958322,-6.60076942285247,4.090283667324e-11
"97","yearsold_6",97,-0.636745569741674,0.0925777129045232,-6.87795744531256,6.07158767707006e-12
"98","yearsold_7",98,-0.725905748295642,0.106572133095788,-6.81140301135937,9.66515756317676e-12
"99","yearsold_8",99,-0.581365651396948,0.130688624180741,-4.44847939169462,8.64803447120366e-06
"100","yearsold_1_vp",100,0.0222344006092922,0.0539986361885538,0.411758558709771,0.680516398979271
"101","yearsold_2_vp",101,-0.450168896611177,0.055664589938606,-8.08716811006209,6.66133814775094e-16
"102","yearsold_3_vp",102,-0.385691526446662,0.0606008111973701,-6.36446144574711,1.95976124217623e-10
"103","yearsold_4_vp",103,-0.632927412817489,0.0674853443117012,-9.37873873613395,0
"104","yearsold_5_vp",104,-0.512857788526391,0.0772715367072415,-6.63708540532142,3.19946291682527e-11
"105","yearsold_6_vp",105,-0.469815268829747,0.080582709390161,-5.83022427993853,5.53529289071264e-09
"106","yearsold_7_vp",106,-0.492112043040145,0.09316142673576,-5.2823583781725,1.27531413873783e-07
"107","yearsold_8_vp",107,-0.503776864497043,0.0628001565012485,-8.02190460284964,1.11022302462516e-15
"108","songnumberone_instrumental",108,2.30395795481916,0.193153841806197,11.928098003512,0
